Date,Narration,Chq./Ref.No.,Value Dt,Withdrawal Amt.,Deposit Amt.,Closing Balance
02-11-2025,UPI/BUSINESS SALE CREDIT,CHQ000001,02-11-2025,,"2,929.00","17,929.00"
04-11-2025,UPI/BUSINESS SALE CREDIT,CHQ000002,04-11-2025,,"2,069.00","19,998.00"
04-11-2025,NEFT/WHOLESALE PAYMENT RECEIVED,CHQ000003,04-11-2025,,"22,625.00","42,623.00"
05-11-2025,EMI/SME-TERM-LOAN,CHQ000004,05-11-2025,"12,000.00",,"142,033.00"
06-11-2025,UPI/BUSINESS SALE CREDIT,CHQ000005,06-11-2025,,"5,692.00","48,315.00"
08-11-2025,UPI/BUSINESS SALE CREDIT,CHQ000006,08-11-2025,,"3,248.00","51,563.00"
08-11-2025,NEFT/WHOLESALE PAYMENT RECEIVED,CHQ000007,08-11-2025,,"11,306.00","62,869.00"
10-11-2025,UPI/BUSINESS SALE CREDIT,CHQ000008,10-11-2025,,"2,125.00","64,994.00"
10-11-2025,BILLPAY/TATA POWER,CHQ000009,10-11-2025,"4,177.00",,"128,856.00"
12-11-2025,UPI/BUSINESS SALE CREDIT,CHQ000010,12-11-2025,,"4,656.00","69,650.00"
12-11-2025,NEFT/WHOLESALE PAYMENT RECEIVED,CHQ000011,12-11-2025,,"21,653.00","91,303.00"
14-11-2025,UPI/BUSINESS SALE CREDIT,CHQ000012,14-11-2025,,"5,424.00","96,727.00"
16-11-2025,UPI/BUSINESS SALE CREDIT,CHQ000013,16-11-2025,,"6,413.00","103,140.00"
16-11-2025,NEFT/WHOLESALE PAYMENT RECEIVED,CHQ000014,16-11-2025,,"11,888.00","115,028.00"
16-11-2025,GST PAYMENT/RETURN FILING,CHQ000015,16-11-2025,"7,422.00",,"121,434.00"
18-11-2025,UPI/BUSINESS SALE CREDIT,CHQ000016,18-11-2025,,"3,842.00","118,870.00"
19-11-2025,EMI/WORKING-CAPITAL-LOAN,CHQ000017,19-11-2025,"9,000.00",,"133,033.00"
20-11-2025,UPI/BUSINESS SALE CREDIT,CHQ000018,20-11-2025,,"4,732.00","123,602.00"
20-11-2025,NEFT/WHOLESALE PAYMENT RECEIVED,CHQ000019,20-11-2025,,"10,700.00","134,302.00"
22-11-2025,UPI/BUSINESS SALE CREDIT,CHQ000020,22-11-2025,,"4,630.00","138,932.00"
24-11-2025,UPI/BUSINESS SALE CREDIT,CHQ000021,24-11-2025,,"3,230.00","142,162.00"
24-11-2025,NEFT/WHOLESALE PAYMENT RECEIVED,CHQ000022,24-11-2025,,"11,871.00","154,033.00"
02-12-2025,UPI/BUSINESS SALE CREDIT,CHQ000023,02-12-2025,,"4,741.00","126,175.00"
04-12-2025,UPI/BUSINESS SALE CREDIT,CHQ000024,04-12-2025,,"5,877.00","132,052.00"
04-12-2025,NEFT/WHOLESALE PAYMENT RECEIVED,CHQ000025,04-12-2025,,"24,302.00","156,354.00"
05-12-2025,EMI/SME-TERM-LOAN,CHQ000026,05-12-2025,"12,000.00",,"278,761.00"
06-12-2025,UPI/BUSINESS SALE CREDIT,CHQ000027,06-12-2025,,"3,821.00","160,175.00"
08-12-2025,UPI/BUSINESS SALE CREDIT,CHQ000028,08-12-2025,,"5,726.00","165,901.00"
08-12-2025,NEFT/WHOLESALE PAYMENT RECEIVED,CHQ000029,08-12-2025,,"16,671.00","182,572.00"
10-12-2025,UPI/BUSINESS SALE CREDIT,CHQ000030,10-12-2025,,"1,673.00","184,245.00"
10-12-2025,BILLPAY/Jio,CHQ000031,10-12-2025,"1,304.00",,"268,457.00"
12-12-2025,UPI/BUSINESS SALE CREDIT,CHQ000032,12-12-2025,,"3,733.00","187,978.00"
12-12-2025,NEFT/WHOLESALE PAYMENT RECEIVED,CHQ000033,12-12-2025,,"20,458.00","208,436.00"
14-12-2025,UPI/BUSINESS SALE CREDIT,CHQ000034,14-12-2025,,"4,011.00","212,447.00"
16-12-2025,UPI/BUSINESS SALE CREDIT,CHQ000035,16-12-2025,,"5,935.00","218,382.00"
16-12-2025,NEFT/WHOLESALE PAYMENT RECEIVED,CHQ000036,16-12-2025,,"24,632.00","243,014.00"
